Last seen,Usage (MB)
2023-10-21,209.1216796875
2023-10-22,1581.767578125
2023-10-23,906.0603515625
2023-10-24,2667.909375
2023-10-25,1847.0375000000001
2023-10-26,2609.8037109375
2023-10-27,2589.033203125
2023-10-28,188.9388671875
2023-10-29,1092.44375
2023-10-30,3885.0009765625
2023-10-31,2229.175
2023-11-01,3170.2994140624996
2023-11-02,2082.1419921875
2023-11-03,2793.1978515625
2023-11-04,460.80546875
2023-11-05,1118.8097656250002
2023-11-06,3748.9884765624997
2023-11-07,9392.2751953125
2023-11-08,6610.58984375
2023-11-09,8231.99921875
2023-11-10,1588.765625
2023-11-11,2308.1728515625
2023-11-12,999.11796875
2023-11-13,7322.632421875
2023-11-14,8090.0263671875
2023-11-15,11290.5125
2023-11-16,20533.130859375
2023-11-17,16410.6451171875
2023-11-18,436.5658203125
2023-11-19,2000.1460937499999
2023-11-20,12527.9595703125
2023-11-21,5639.8587890625
2023-11-22,3972.16171875
2023-11-23,3828.70703125
2023-11-24,7835.551367187501
2023-11-25,2523.3607421875004
2023-11-26,1942.558203125
2023-11-27,29782.46953125
2023-11-28,16078.333984375
2023-11-29,9601.50859375
2023-11-30,6882.6873046875
2023-12-01,4427.3208984375
2023-12-02,1208.2212890625
2023-12-03,1983.7845703125
2023-12-04,11508.0408203125
2023-12-05,9603.5015625
2023-12-06,12407.2509765625
